"Occupation ID","Occupation","Quarter ID","Quarter","Workforce","Monthly Wage","Time","type","type ID"
2112,"Especialistas y Consultores en Mercadotecnia, Publicidad, Comunicación y Comercio Exterior",20123,"2012-Q3",48964,4654.319908504207,1343797200000,"Especialistas y Consultores en Mercadotecnia, Publicidad, Comunicación y Comercio Exterior",2112
2112,"Especialistas y Consultores en Mercadotecnia, Publicidad, Comunicación y Comercio Exterior",20124,"2012-Q4",46382,6823.655836315812,1351749600000,"Especialistas y Consultores en Mercadotecnia, Publicidad, Comunicación y Comercio Exterior",2112
2112,"Especialistas y Consultores en Mercadotecnia, Publicidad, Comunicación y Comercio Exterior",20131,"2013-Q1",36910,5932.378217285289,1359698400000,"Especialistas y Consultores en Mercadotecnia, Publicidad, Comunicación y Comercio Exterior",2112
2112,"Especialistas y Consultores en Mercadotecnia, Publicidad, Comunicación y Comercio Exterior",20132,"2013-Q2",37760,5486.961652542373,1367384400000,"Especialistas y Consultores en Mercadotecnia, Publicidad, Comunicación y Comercio Exterior",2112
2112,"Especialistas y Consultores en Mercadotecnia, Publicidad, Comunicación y Comercio Exterior",20133,"2013-Q3",34784,4461.385838316467,1375333200000,"Especialistas y Consultores en Mercadotecnia, Publicidad, Comunicación y Comercio Exterior",2112
2112,"Especialistas y Consultores en Mercadotecnia, Publicidad, Comunicación y Comercio Exterior",20134,"2013-Q4",43393,5562.958311248358,1383285600000,"Especialistas y Consultores en Mercadotecnia, Publicidad, Comunicación y Comercio Exterior",2112
2112,"Especialistas y Consultores en Mercadotecnia, Publicidad, Comunicación y Comercio Exterior",20141,"2014-Q1",33449,5459.674429728841,1391234400000,"Especialistas y Consultores en Mercadotecnia, Publicidad, Comunicación y Comercio Exterior",2112
2112,"Especialistas y Consultores en Mercadotecnia, Publicidad, Comunicación y Comercio Exterior",20142,"2014-Q2",44507,2877.482688116476,1398920400000,"Especialistas y Consultores en Mercadotecnia, Publicidad, Comunicación y Comercio Exterior",2112
2112,"Especialistas y Consultores en Mercadotecnia, Publicidad, Comunicación y Comercio Exterior",20143,"2014-Q3",41297,4726.6096810906365,1406869200000,"Especialistas y Consultores en Mercadotecnia, Publicidad, Comunicación y Comercio Exterior",2112
2112,"Especialistas y Consultores en Mercadotecnia, Publicidad, Comunicación y Comercio Exterior",20144,"2014-Q4",45511,5969.011228054756,1414821600000,"Especialistas y Consultores en Mercadotecnia, Publicidad, Comunicación y Comercio Exterior",2112
2112,"Especialistas y Consultores en Mercadotecnia, Publicidad, Comunicación y Comercio Exterior",20151,"2015-Q1",41366,4571.83150413383,1422770400000,"Especialistas y Consultores en Mercadotecnia, Publicidad, Comunicación y Comercio Exterior",2112
2112,"Especialistas y Consultores en Mercadotecnia, Publicidad, Comunicación y Comercio Exterior",20152,"2015-Q2",42848,4142.264516430172,1430456400000,"Especialistas y Consultores en Mercadotecnia, Publicidad, Comunicación y Comercio Exterior",2112
2112,"Especialistas y Consultores en Mercadotecnia, Publicidad, Comunicación y Comercio Exterior",20153,"2015-Q3",49594,4958.873250796467,1438405200000,"Especialistas y Consultores en Mercadotecnia, Publicidad, Comunicación y Comercio Exterior",2112
2112,"Especialistas y Consultores en Mercadotecnia, Publicidad, Comunicación y Comercio Exterior",20154,"2015-Q4",43606,3795.1774985093793,1446357600000,"Especialistas y Consultores en Mercadotecnia, Publicidad, Comunicación y Comercio Exterior",2112
2112,"Especialistas y Consultores en Mercadotecnia, Publicidad, Comunicación y Comercio Exterior",20161,"2016-Q1",41911,5529.4063372384335,1454306400000,"Especialistas y Consultores en Mercadotecnia, Publicidad, Comunicación y Comercio Exterior",2112
2112,"Especialistas y Consultores en Mercadotecnia, Publicidad, Comunicación y Comercio Exterior",20162,"2016-Q2",58226,6252.282485487583,1462078800000,"Especialistas y Consultores en Mercadotecnia, Publicidad, Comunicación y Comercio Exterior",2112
